date,dealer_id,product_id,total_demand,stock_in,stock_out,closing_stock,beneficiaries_count,festival_flag,season,policy_change_flag
2023-01-01,105,2,175,199,175,335,85,0,winter,0
2023-01-01,105,3,101,91,101,268,21,0,winter,0
2023-01-01,101,2,68,39,68,132,15,0,winter,0
2023-01-01,101,1,87,217,87,285,49,0,winter,0
2023-01-01,101,4,191,266,191,268,12,0,winter,0
2023-01-01,103,2,165,157,165,451,36,0,winter,0
2023-01-01,103,3,147,196,147,356,25,0,winter,0
2023-01-01,103,4,141,19,141,354,87,0,winter,0
2023-01-01,103,1,82,181,82,264,82,0,winter,0
2023-01-02,103,3,104,295,104,594,86,0,winter,0
2023-01-02,103,2,153,39,153,245,26,0,winter,0
2023-01-02,103,1,76,255,76,301,10,0,winter,0
2023-01-02,105,3,135,288,135,461,50,0,winter,0
2023-01-02,105,1,53,152,53,548,94,0,winter,0
2023-01-02,105,4,80,32,80,57,95,0,winter,0
2023-01-02,105,2,186,285,186,332,52,0,winter,0
2023-01-02,104,1,187,245,187,422,81,0,winter,0
2023-01-02,104,2,148,42,148,296,39,0,winter,0
2023-01-02,101,3,54,78,54,400,49,0,winter,0
2023-01-02,101,1,68,239,68,321,37,0,winter,0
2023-01-02,101,4,75,111,75,428,44,0,winter,0
2023-01-02,101,2,30,264,30,496,57,0,winter,0
2023-01-03,101,3,97,59,97,184,29,0,winter,0
2023-01-03,101,2,97,210,97,376,13,0,winter,0
2023-01-03,105,2,159,186,159,197,65,0,winter,0
2023-01-03,105,3,89,26,89,240,20,0,winter,0
2023-01-03,103,1,189,274,189,483,79,0,winter,0
2023-01-03,103,2,120,78,120,215,67,0,winter,0
2023-01-03,103,4,148,271,148,500,44,0,winter,0
2023-01-03,104,3,63,2,63,191,16,0,winter,0
2023-01-03,104,4,36,243,36,431,43,0,winter,0
2023-01-03,104,2,51,293,51,679,17,0,winter,0
2023-01-03,104,1,59,59,59,290,88,0,winter,0
2023-01-04,101,4,84,129,84,365,50,0,winter,0
2023-01-04,101,2,118,156,118,230,79,0,winter,0
2023-01-04,104,2,70,11,70,330,30,0,winter,0
2023-01-04,104,1,119,73,119,366,34,0,winter,0
2023-01-04,104,4,25,201,25,486,78,0,winter,0
2023-01-04,104,3,57,146,57,364,49,0,winter,0
2023-01-04,102,1,195,275,195,413,34,0,winter,0
