date,fps_id,commodity,beneficiary_class,quantity_distributed
2023-01-01,FPS_005,Wheat,AAY,70
2023-01-01,FPS_005,Sugar,AAY,50
2023-01-01,FPS_001,Wheat,AAY,50
2023-01-01,FPS_001,Rice,AAY,52
2023-01-01,FPS_001,Kerosene,AAY,76
2023-01-01,FPS_003,Wheat,AAY,66
2023-01-01,FPS_003,Sugar,AAY,50
2023-01-01,FPS_003,Kerosene,AAY,56
2023-01-01,FPS_003,Rice,AAY,50
2023-01-02,FPS_003,Sugar,AAY,50
2023-01-02,FPS_003,Wheat,AAY,61
2023-01-02,FPS_003,Rice,AAY,50
2023-01-02,FPS_005,Sugar,AAY,50
2023-01-02,FPS_005,Rice,AAY,50
2023-01-02,FPS_005,Kerosene,AAY,50
2023-01-02,FPS_005,Wheat,AAY,74
2023-01-02,FPS_004,Rice,AAY,112
2023-01-02,FPS_004,Wheat,AAY,59
2023-01-02,FPS_001,Sugar,AAY,50
2023-01-02,FPS_001,Rice,AAY,50
2023-01-02,FPS_001,Kerosene,AAY,50
2023-01-02,FPS_001,Wheat,AAY,50
2023-01-03,FPS_001,Sugar,AAY,50
2023-01-03,FPS_001,Wheat,AAY,50
2023-01-03,FPS_005,Wheat,AAY,63
2023-01-03,FPS_005,Sugar,AAY,50
2023-01-03,FPS_003,Rice,AAY,113
2023-01-03,FPS_003,Wheat,AAY,50
2023-01-03,FPS_003,Kerosene,AAY,59
2023-01-03,FPS_004,Sugar,AAY,50
2023-01-03,FPS_004,Kerosene,AAY,50
2023-01-03,FPS_004,Wheat,AAY,50
2023-01-03,FPS_004,Rice,AAY,50
2023-01-04,FPS_001,Kerosene,AAY,50
2023-01-04,FPS_001,Wheat,AAY,50
2023-01-04,FPS_004,Wheat,AAY,50
2023-01-04,FPS_004,Rice,AAY,71
2023-01-04,FPS_004,Kerosene,AAY,50
2023-01-04,FPS_004,Sugar,AAY,50
2023-01-04,FPS_002,Rice,AAY,117
2023-01-04,FPS_002,Wheat,AAY,50
2023-01-05,FPS_003,Wheat,AAY,50
2023-01-05,FPS_003,Sugar,AAY,50
2023-01-05,FPS_003,Kerosene,AAY,50
2023-01-05,FPS_002,Rice,AAY,103
2023-01-05,FPS_002,Sugar,AAY,50
2023-01-05,FPS_002,Wheat,AAY,50
2023-01-05,FPS_002,Kerosene,AAY,50
2023-01-06,FPS_003,Wheat,AAY,50
2023-01-06,FPS_003,Sugar,AAY,50
2023-01-06,FPS_003,Kerosene,AAY,57
2023-01-06,FPS_001,Rice,AAY,50
2023-01-06,FPS_001,Wheat,AAY,50
2023-01-06,FPS_001,Kerosene,AAY,50
2023-01-07,FPS_002,Kerosene,AAY,50
2023-01-07,FPS_002,Rice,AAY,52
2023-01-07,FPS_002,Sugar,AAY,50
2023-01-07,FPS_002,Wheat,AAY,70
2023-01-07,FPS_004,Sugar,AAY,50
2023-01-07,FPS_004,Kerosene,AAY,50
2023-01-08,FPS_003,Kerosene,AAY,66
2023-01-08,FPS_003,Wheat,AAY,69
2023-01-08,FPS_003,Rice,AAY,104
2023-01-08,FPS_003,Sugar,AAY,50
2023-01-08,FPS_004,Wheat,AAY,58
2023-01-08,FPS_004,Sugar,AAY,50
2023-01-08,FPS_004,Kerosene,AAY,50
2023-01-08,FPS_004,Rice,AAY,90
2023-01-09,FPS_003,Kerosene,AAY,50
2023-01-09,FPS_003,Rice,AAY,50
2023-01-09,FPS_001,Sugar,AAY,50
2023-01-09,FPS_001,Wheat,AAY,50
2023-01-09,FPS_001,Kerosene,AAY,67
2023-01-09,FPS_001,Rice,AAY,98
2023-01-09,FPS_002,Sugar,AAY,50
2023-01-09,FPS_002,Wheat,AAY,50
2023-01-09,FPS_002,Rice,AAY,75
2023-01-10,FPS_002,Sugar,AAY,50
2023-01-10,FPS_002,Rice,AAY,112
2023-01-10,FPS_002,Wheat,AAY,50
2023-01-10,FPS_005,Rice,AAY,87
2023-01-10,FPS_005,Wheat,AAY,50
2023-01-10,FPS_005,Kerosene,AAY,57
2023-01-10,FPS_005,Sugar,AAY,50
2023-01-10,FPS_003,Wheat,AAY,50
2023-01-10,FPS_003,Rice,AAY,118
2023-01-10,FPS_003,Sugar,AAY,50
2023-01-10,FPS_003,Kerosene,AAY,50
2023-01-10,FPS_001,Wheat,AAY,58
2023-01-10,FPS_001,Rice,AAY,50
2023-01-10,FPS_004,Rice,AAY,98
2023-01-10,FPS_004,Kerosene,AAY,50
2023-01-10,FPS_004,Wheat,AAY,50
2023-01-10,FPS_004,Sugar,AAY,50
2023-01-11,FPS_001,Kerosene,AAY,50
2023-01-11,FPS_001,Rice,AAY,70
2023-01-11,FPS_004,Kerosene,AAY,50
2023-01-11,FPS_004,Wheat,AAY,50
2023-01-11,FPS_004,Sugar,AAY,50
2023-01-11,FPS_004,Rice,AAY,74
2023-01-11,FPS_005,Sugar,AAY,50
2023-01-11,FPS_005,Wheat,AAY,66
2023-01-11,FPS_005,Kerosene,AAY,50
2023-01-12,FPS_004,Kerosene,AAY,68
2023-01-12,FPS_004,Sugar,AAY,50
2023-01-12,FPS_004,Wheat,AAY,50
2023-01-12,FPS_005,Kerosene,AAY,50
2023-01-12,FPS_005,Wheat,AAY,72
2023-01-12,FPS_005,Sugar,AAY,50
2023-01-12,FPS_005,Rice,AAY,50
2023-01-12,FPS_001,Kerosene,AAY,72
2023-01-12,FPS_001,Rice,AAY,106
2023-01-12,FPS_001,Wheat,AAY,56
2023-01-12,FPS_003,Sugar,AAY,50
2023-01-12,FPS_003,Rice,AAY,60
2023-01-13,FPS_002,Wheat,AAY,50
2023-01-13,FPS_002,Sugar,AAY,50
2023-01-13,FPS_002,Rice,AAY,85
2023-01-13,FPS_002,Kerosene,AAY,76
2023-01-13,FPS_003,Kerosene,AAY,68
2023-01-13,FPS_003,Rice,AAY,57
2023-01-13,FPS_003,Wheat,AAY,50
2023-01-13,FPS_005,Kerosene,AAY,50
2023-01-13,FPS_005,Rice,AAY,75
2023-01-13,FPS_005,Wheat,AAY,67
2023-01-13,FPS_005,Sugar,AAY,50
2023-01-14,FPS_005,Rice,AAY,50
2023-01-14,FPS_005,Sugar,AAY,50
2023-01-14,FPS_005,Wheat,AAY,50
2023-01-14,FPS_004,Rice,AAY,93
2023-01-14,FPS_004,Sugar,AAY,50
2023-01-14,FPS_004,Wheat,AAY,54
2023-01-14,FPS_003,Wheat,AAY,72
2023-01-14,FPS_003,Kerosene,AAY,50
2023-01-14,FPS_003,Rice,AAY,52
2023-01-15,FPS_002,Kerosene,AAY,73
2023-01-15,FPS_002,Rice,AAY,55
2023-01-15,FPS_002,Sugar,AAY,50
