date,fps_id,commodity,beneficiary_class,quantity_distributed
2024-01-01,FPS_001,Rice,AAY,273
2024-01-01,FPS_001,Rice,PHH,1978
2024-01-01,FPS_001,Wheat,AAY,910
2024-01-01,FPS_001,Wheat,PHH,868
2024-01-01,FPS_001,Sugar,AAY,50
2024-01-01,FPS_001,Sugar,PHH,70
2024-01-01,FPS_002,Rice,AAY,1350
2024-01-01,FPS_002,Rice,PHH,932
2024-01-01,FPS_002,Wheat,AAY,664
2024-01-01,FPS_002,Wheat,PHH,659
2024-01-01,FPS_002,Sugar,AAY,61
2024-01-01,FPS_002,Sugar,PHH,94
2024-01-01,FPS_003,Rice,AAY,684
2024-01-01,FPS_003,Rice,PHH,2000
2024-01-01,FPS_003,Wheat,AAY,137
2024-01-01,FPS_003,Wheat,PHH,1010
2024-01-01,FPS_003,Sugar,AAY,50
2024-01-01,FPS_003,Sugar,PHH,204
2024-01-01,FPS_004,Rice,AAY,1282
2024-01-01,FPS_004,Rice,PHH,1209
2024-01-01,FPS_004,Wheat,AAY,711
2024-01-01,FPS_004,Wheat,PHH,921
2024-01-01,FPS_004,Sugar,AAY,98
2024-01-01,FPS_004,Sugar,PHH,116
2024-01-01,FPS_005,Rice,AAY,973
2024-01-01,FPS_005,Rice,PHH,1921
2024-01-01,FPS_005,Wheat,AAY,855
2024-01-01,FPS_005,Wheat,PHH,1029
2024-01-01,FPS_005,Sugar,AAY,50
2024-01-01,FPS_005,Sugar,PHH,105
2024-01-08,FPS_001,Rice,AAY,378
2024-01-08,FPS_001,Rice,PHH,2000
2024-01-08,FPS_001,Wheat,AAY,363
2024-01-08,FPS_001,Wheat,PHH,519
2024-01-08,FPS_001,Sugar,AAY,50
2024-01-08,FPS_001,Sugar,PHH,183
2024-01-08,FPS_002,Rice,AAY,1630
2024-01-08,FPS_002,Rice,PHH,2000
2024-01-08,FPS_002,Wheat,AAY,524
2024-01-08,FPS_002,Wheat,PHH,571
2024-01-08,FPS_002,Sugar,AAY,67
2024-01-08,FPS_002,Sugar,PHH,173
2024-01-08,FPS_003,Rice,AAY,945
2024-01-08,FPS_003,Rice,PHH,2000
2024-01-08,FPS_003,Wheat,AAY,832
2024-01-08,FPS_003,Wheat,PHH,754
2024-01-08,FPS_003,Sugar,AAY,88
2024-01-08,FPS_003,Sugar,PHH,152
2024-01-08,FPS_004,Rice,AAY,1665
2024-01-08,FPS_004,Rice,PHH,2000
2024-01-08,FPS_004,Wheat,AAY,293
2024-01-08,FPS_004,Wheat,PHH,1653
2024-01-08,FPS_004,Sugar,AAY,66
2024-01-08,FPS_004,Sugar,PHH,80
2024-01-08,FPS_005,Rice,AAY,960
2024-01-08,FPS_005,Rice,PHH,2000
2024-01-08,FPS_005,Wheat,AAY,696
2024-01-08,FPS_005,Wheat,PHH,518
2024-01-08,FPS_005,Sugar,AAY,106
2024-01-08,FPS_005,Sugar,PHH,86
2024-01-15,FPS_001,Rice,AAY,580
2024-01-15,FPS_001,Rice,PHH,1856
2024-01-15,FPS_001,Wheat,AAY,650
2024-01-15,FPS_001,Wheat,PHH,930
2024-01-15,FPS_001,Sugar,AAY,50
2024-01-15,FPS_001,Sugar,PHH,99
2024-01-15,FPS_002,Rice,AAY,1486
2024-01-15,FPS_002,Rice,PHH,1751
2024-01-15,FPS_002,Wheat,AAY,614
2024-01-15,FPS_002,Wheat,PHH,1745
2024-01-15,FPS_002,Sugar,AAY,50
2024-01-15,FPS_002,Sugar,PHH,73
2024-01-15,FPS_003,Rice,AAY,748
2024-01-15,FPS_003,Rice,PHH,2000
2024-01-15,FPS_003,Wheat,AAY,477
2024-01-15,FPS_003,Wheat,PHH,1201
2024-01-15,FPS_003,Sugar,AAY,99
2024-01-15,FPS_003,Sugar,PHH,64
2024-01-15,FPS_004,Rice,AAY,459
2024-01-15,FPS_004,Rice,PHH,1083
2024-01-15,FPS_004,Wheat,AAY,611
2024-01-15,FPS_004,Wheat,PHH,1709
2024-01-15,FPS_004,Sugar,AAY,52
2024-01-15,FPS_004,Sugar,PHH,58
2024-01-15,FPS_005,Rice,AAY,789
2024-01-15,FPS_005,Rice,PHH,2000
2024-01-15,FPS_005,Wheat,AAY,155
2024-01-15,FPS_005,Wheat,PHH,1569
2024-01-15,FPS_005,Sugar,AAY,104
2024-01-15,FPS_005,Sugar,PHH,138
2024-01-22,FPS_001,Rice,AAY,1353
2024-01-22,FPS_001,Rice,PHH,1892
2024-01-22,FPS_001,Wheat,AAY,779
2024-01-22,FPS_001,Wheat,PHH,1267
2024-01-22,FPS_001,Sugar,AAY,50
2024-01-22,FPS_001,Sugar,PHH,92
2024-01-22,FPS_002,Rice,AAY,573
2024-01-22,FPS_002,Rice,PHH,2000
2024-01-22,FPS_002,Wheat,AAY,865
2024-01-22,FPS_002,Wheat,PHH,868
2024-01-22,FPS_002,Sugar,AAY,60
2024-01-22,FPS_002,Sugar,PHH,136
2024-01-22,FPS_003,Rice,AAY,1396
2024-01-22,FPS_003,Rice,PHH,1514
2024-01-22,FPS_003,Wheat,AAY,751
2024-01-22,FPS_003,Wheat,PHH,902
2024-01-22,FPS_003,Sugar,AAY,92
2024-01-22,FPS_003,Sugar,PHH,179
2024-01-22,FPS_004,Rice,AAY,1435
2024-01-22,FPS_004,Rice,PHH,1730
2024-01-22,FPS_004,Wheat,AAY,928
2024-01-22,FPS_004,Wheat,PHH,562
2024-01-22,FPS_004,Sugar,AAY,100
2024-01-22,FPS_004,Sugar,PHH,94
2024-01-22,FPS_005,Rice,AAY,1462
2024-01-22,FPS_005,Rice,PHH,1352
2024-01-22,FPS_005,Wheat,AAY,429
2024-01-22,FPS_005,Wheat,PHH,1178
2024-01-22,FPS_005,Sugar,AAY,50
2024-01-22,FPS_005,Sugar,PHH,84
2024-01-29,FPS_001,Rice,AAY,114
2024-01-29,FPS_001,Rice,PHH,2000
2024-01-29,FPS_001,Wheat,AAY,114
2024-01-29,FPS_001,Wheat,PHH,1688
2024-01-29,FPS_001,Sugar,AAY,106
2024-01-29,FPS_001,Sugar,PHH,146
2024-01-29,FPS_002,Rice,AAY,706
2024-01-29,FPS_002,Rice,PHH,1203
2024-01-29,FPS_002,Wheat,AAY,697
2024-01-29,FPS_002,Wheat,PHH,1149
2024-01-29,FPS_002,Sugar,AAY,50
2024-01-29,FPS_002,Sugar,PHH,81
2024-01-29,FPS_003,Rice,AAY,985
2024-01-29,FPS_003,Rice,PHH,2000
2024-01-29,FPS_003,Wheat,AAY,441
2024-01-29,FPS_003,Wheat,PHH,1433
2024-01-29,FPS_003,Sugar,AAY,56
2024-01-29,FPS_003,Sugar,PHH,107
2024-01-29,FPS_004,Rice,AAY,769
2024-01-29,FPS_004,Rice,PHH,2000
2024-01-29,FPS_004,Wheat,AAY,539
2024-01-29,FPS_004,Wheat,PHH,812
2024-01-29,FPS_004,Sugar,AAY,50
2024-01-29,FPS_004,Sugar,PHH,62
2024-01-29,FPS_005,Rice,AAY,330
2024-01-29,FPS_005,Rice,PHH,1386
2024-01-29,FPS_005,Wheat,AAY,889
2024-01-29,FPS_005,Wheat,PHH,1580
2024-01-29,FPS_005,Sugar,AAY,50
2024-01-29,FPS_005,Sugar,PHH,66
2024-02-05,FPS_001,Rice,AAY,993
2024-02-05,FPS_001,Rice,PHH,1904
2024-02-05,FPS_001,Wheat,AAY,623
2024-02-05,FPS_001,Wheat,PHH,1507
